character_id,character_name_en,character_name_jp,display_name,nickname,nationality,height,weight,martial_arts,character_description
010,Alisa Bosconovitch,アリサ・ボスコノビッチ,Alisa,デストロイオートマタ,ロシア,165cm,60kg,スラスターを使用した高機動戦闘,三島財閥の頭首であった風間仁の護衛用に造られた戦闘用アンドロイド、アリサ・ボスコノビッチ。かつてアリサは、マスターである仁の命令で制御を奪われ、好意を寄せていたラース・アレクサンダーソンとの死闘の果てに機能停止に陥ることになる。その後、彼女はラース達の尽力で奇跡的にリブートを果たし、現在は反乱軍の一員として活動していた。しかし、ここ最近アリサは”思考ルーチンにラースの情報が頻繁に混入し、機体の温度が上昇する”という不具合に悩まされていた。プログラムに重大なバグが残ったことを疑い、生みの親であるDr.ボスコノビッチにメンテナンスを願い出るアリサ。数週間を経て大型バージョンアップを施された彼女は、意外な事実を知ることになる。バグは見つからなかったばかりか、かつて彼女をラースと戦わせる原因となった、“マスターによる制御機能”が消滅していたというのである。「お前はもう自由だ。これからは、好きなように生きなさい」優しく微笑むDr.ボスコノビッチの表情に、一瞬、誰かの笑顔が重なったような気がして、アリサもまた微笑みを返した。帰路を飛翔しながら、アリサは静かに誓いを立てる。今度こそ、自分の意志でラースと共に進んでゆくのだ――と。
020,Asuka Kazama,風間飛鳥,Asuka,勝気な喧嘩仲裁屋,日本,167cm,57kg,風間流古武術,おせっかいな喧嘩仲裁屋として有名な風間流古武術の使い手、風間飛鳥。以前参加した The King of Iron Fist Tournament でお金持ちのお嬢様、リリに勝ったことで、何かと付きまとわれるようになってしまう。リリの破天荒な行動は日に日にエスカレートしていき、ついには自宅の道場が買収されバラの装飾だらけにされてしまうなど、散々な目に遭っていた。しかしそんなドタバタな日常は、G社による世界侵攻によって終わりを迎えようとしていた……
030,Azucena Milagros Ortiz Castillo,アズセナ・ミラグロス・オルティス・カスティーリョ,Azucena,パーフェクトブレンド,ペルー,171cm,61kg,総合格闘技（ストライカー）,“コーヒー・クイーン”の異名を持ち、天真爛漫な性格と、恐れ知らずのファイトスタイルで愛されるMMAチャンピオン、アズセナ・ミラグロス・オルティス・カスティーリョ。標高2000m超えの高地にあるペルーのコーヒー農園“オルティス・ファーム”の一人娘として生まれたアズセナは、父の栽培するコーヒーに魅せられ、幼い頃から「世界一のコーヒー農家になる」という夢を抱いていた。夢の実現のため、斬新すぎるアイデアで次々と新たなコーヒー栽培に挑戦するアズセナを大人たちは幾度も制止した。だが、アズセナはそれを“自分への応援”だと受け取り、破天荒さに磨きをかけてゆく。数年後、彼女の育てた豆はついに世界的に有名な品評会で最高品質の評価を獲得し、アズセナの才能は業界に知れ渡ることになった。その後も、何事も楽しむ脅威のポジティブ思考と天才的なひらめきで結果を出し続けたアズセナは、モデル、ダンサーとしても成功を収めつつ、国内最高ランクの大学で経営学を学び始める。だが、世界一を目指すには堅実さだけでなく冒険も必要だと、彼女の全身に流れるカフェインが告げていた。そんな矢先、農園から脱走しようするアルパカをコーヒー片手に取り押さえていたアズセナは、ある作戦を思いつく。それは、高地で鍛えた自慢の身体能力を武器にアメリカの総合格闘技界に殴り込みをかけ、自身の名を冠した“アズセナ・ブレンド”を宣伝することであった。目論みは的中し、1年目にしてチャンピオンの座に上り詰めたアズセナは、自らを広告塔とすることでオルティス・ファームの売り上げと知名度を飛躍的に高めることに成功する。次の一手としてアズセナが注目したのは、ここ数年、世界で最も注目を浴びている格闘トーナメント The King of Iron Fist Tournament であった。ここで優勝すれば、世界一に大きく近づくことは間違いない。次の開催日程は未定だが、その日が遠くないことを彼女は確信していた。「私の勘は、よく当たるのよね！」
040,Bryan Fury,ブライアン・フューリー,Bryan,暴走レプリカント,アメリカ,186cm,87kg,キックボクシング,無尽蔵のエネルギーを生み出す“永久機関”を内蔵し、不死身のレプリカントとして破壊の限りを尽くすブライアン・フューリー。彼はG社と三島財閥の争いが決着した後も各地で戦闘行為を繰り返し、国際警察の指名手配を受ける身になっていた。ブライアンに“異変”が起きたのは、かつて自らも在籍していた国際警察の精鋭が集められた、対テロ特殊部隊との市街戦の最中だった。多くの戦場で酷使され続けたためか、あるいは肉体の記憶の影響か。永久機関が突如として熱暴走を起こしたのである。ブライアンの脳を爆発的な力と快楽が焼き焦がし、赤く塗りつぶしてゆく――。再び意識が戻った時、彼の周囲は焦土と化していた。「貴様は、本当にあのブライアンなのか……？」過去のブライアンを知ると思しき人物が瓦礫の下で呟く。その問いに答えるように、鈍い打撃音と哄笑が響いた。
050,Claudio Serafino,クラウディオ・セラフィーノ,Claudio,魔の断罪者,イタリア,180cm,80kg,シリウス流祓魔術,古より怪異を祓い続けてきた『祓魔師集団・シリウスの射手』の実質的な代表を務め、最強の能力者でもあるクラウディオ・セラフィーノ。約半年前、三島平八から風間仁と三島一八の正体がデビルであると知らされたクラウディオは、組織内の反発をふり切り、平八への協力を断行する。さらに、仁を探し続けているというリン・シャオユウの存在を知ったクラウディオは彼女に接近し、仁を討つために利用しようと考える。“蒼き浄火”を操る家系に生まれ、己の血統に誇りを持つ彼にとって、デビルはいかなる手段を使ってでも討つべき対象に他ならなかった。しかし、ある事件をきっかけにクラウディオの信用は失墜する。平八が彼を裏切り、協力関係の一方的な破棄を宣言したのである。保身のため離叛する者が相次ぎ、挫折と失意に沈むクラウディオ。その眼に、どんな状況でも仁を信じ続けるシャオユウはあまりに眩しく映った。これまでの己を恥じたクラウディオは、シャオユウに真実を告げて謝罪し、今後は彼女のため仁の捜索に協力することを誓う。だが、もし仁が完全にデビルの血に支配されており、シャオユウの心を裏切るようならば、その時は……。クラウディオは決意と共に、右腕に施した封印の一つを解除する。それは先代に使用を禁じられた、術者の命を削る“祓魔の禁呪”であった。
060,Devil Jin,デビル仁,Devil Jin,破滅の黒翼,無し,不明,不明,不明,デビルの血に精神を支配され、理性を失った風間仁のもう一つの姿、デビル仁。漆黒の翼を生やし宙を舞い、人智を超えた力を揮うその姿は、正に悪魔と呼ぶに相応しい。
070,Selgei Dragunov,セルゲイ・ドラグノフ,Dragunov,白き死神,ロシア,192cm,98kg,コマンドサンボ,圧倒的戦闘力から、“白き死神”の二つ名で恐れられているコマンドサンボの使い手、セルゲイ・ドラグノフ。世界が三島財閥とＧ社による武力衝突に巻き込まれる中、ドラグノフはある目的のため The King of Iron Fist Tournament に参加する。しかしトーナメントも中盤に差しかかかった頃、主催者の三島平八が消息不明となり、大会自体が中断されてしまう。帰還したドラグノフはこれまでの仕事ぶりを評価され、初めての長期休暇が与えられることとなった。「眠っている時ですら休まない」と噂されるほど苛烈な働きぶりで知られるドラグノフだが、自室へ戻る彼の足取りは軽やかだった。書斎に戻ったドラグノフは、金庫からおどろおどろしい装丁が施された年代物の手帳を取り出し、眺め始める。それは、常に冷酷なドラグノフが上機嫌な様子で何かを書き込んでいる不気味な姿から、仲間内で“死神のリスト”として恐れられていた代物である。――が、その手帳の正体は彼が昔から書き留めていた“長期休暇中にやりたいことリスト”であった。自家製のスビテンを飲みながら暖を取り、鼻歌交じりに手帳を全て見直し、満足そうに頷くドラグノフ。過去の自分を振り返ったドラグノフは、中でも特に実現が困難であろうものに狙いを定め、その望みを実行に移すべく動き出すのであった。
080,Feng Wei,馮 威,Feng,覇王神拳,中国,190cm,83kg,太極拳,神拳奥義之書に記された教えに従い、人を超えた究極の武人である“龍神”を目指し闘い続ける太極拳の達人、フェン・ウェイ。しかし先の The King of Iron Fist Tournament において、フェンは詠春拳の使い手リロイ・スミスに敗北を喫してしまう。「心の伴わぬ技で真の武は極められん。お前の師、ズーハオの足元にも及ばんな」“神拳”と称された拳聖、ウー・ズーハオのもとで修業を続けてきたフェン。だが、純粋かつ圧倒的な力のみが真の武人たる資質と考えるフェンに対し、ズーハオは心と技の一致こそが肝要だと説き続けていた。どちらの思想が正しかったのか。師を殺めた嵐の夜、一度は証明したはずの答えが、リロイによって再び否定されたのだ。（詠春拳は相手の力を利用し敵を制する鉄壁の武術。ならば、それすらも上回る圧倒的な力で打ち貫くまでのこと――！）怒りを研鑽への糧に変えたフェンは、世界各地で守りに長けた武術の達人を次々と手にかけ、更なる力を身に付けていった。それから約半年。フェンのもとをニーナ・ウィリアムズが訪れ、Ｇ社に協力すればリロイと再戦する場の提供を約束するとの取引を持ち掛けてくる。Ｇ社に加担することの意味を知りつつも、フェンはその提案に無言で頷いた。リロイ、そして亡師が重視した“心”などという戯れ言を否定し、今度こそ迷いなく“龍神”への道を進むために。
090,Hwoarang,ファラン,Hwoarang,ブラッド・タロン,韓国,184cm,80kg,テコンドー,テコンドーの達人であり、初めて闘った際に引き分けて以来、風間仁をライバル視しているファラン。約半年前、彼は中東で仁と再会する。黒翼を生やしたその姿は、かつてファランを一瞬で打ち破った時のものであった。死力を尽くし、暴走する仁を倒すことに成功したファラン。しかし国際協力連合軍の介入により、仁は再び姿を消してしまう。「俺は勝ったはずだ。だが……」帰国後も言葉にできない感情に囚われ続けていたファランは、答えを探すため精神修行を開始する。そして静かに己と向き合い、徐々に辿り着いてゆく。自分の望み、そして、そのために成すべきことに。
100,Jack-8,ジャック-8,Jack-8,アルティメットマシーン,不明,225cm,400kg,力任せ,G社の主力人型兵器、ジャックシリーズの最新プロトタイプ機であるジャック８。その開発者である科学者ジェーンは、かつてジャックに命を救われた過去を持ち、彼女自身の理想とするジャックを作るため、G社に身を置き日夜研究に励んでいた。やがてジャックシリーズはG社の主力人型兵器としての地位を盤石なものとするが、ジェーンのジャックに対する愛情は留まるところを知らなかった。現行機であるジャック７とは比較にならないほど高性能なAIを搭載し、学習機能を大幅に向上させた次世代機の開発を計画。電磁パルス攻撃機能を主軸とした『ガンマシステム』の他、大型特殊兵装を追加するなど、かつてないパワーアップを図るのであった。その後一八が引き起こした混乱の中、G社による支配をより強固にするため、いよいよジャック８が戦場に投入されようとしていた……
